Fg,RPM,Fs,Fa,Fb,Fc,Fh,Fw,pressure,Fremoved,S,DO2,P,V,Wt,pH,T,Q,CO2outgas,Fpaa,PAA_offline,Foil,NH3_offline,OUR,O2,P_offline,X_offline,CER,NH3_shots,Viscosity_offline,Fault_ref,Control_ref,PAT_ref,Batch_ref,Batch_ref

30,100,8,1.0384,10.482,32.247,0.47383,0,0.6,0,1.3225,14.453,0.00099708,57997,62474,6.5519,297.96,57.648,0.12076,5,0,22,0,-0.02235,0.20536,0,0,0.044463,0,0,0,1,0,0,1
30,100,8,1.5601,5.2408,16.002,0.047383,0,0.6,0,1.3571,14.425,0.00099659,57996,62477,6.5328,297.94,50.532,0.12317,5,0,22,0,-0.013702,0.20519,0,0,0.045351,0,0,0,1,0,0,1
30,100,8,0,0,4.8006,24.321,0,0.6,0,1.3897,14.384,0.00099612,57993,62479,6.5091,298.01,71.086,0.12569,5,0,22,0,0.0010281,0.20491,0,0,0.046278,0,0,0,1,0,0,1
30,100,8,0,0,29.178,2.4321,0,0.6,0,1.42,14.356,0.00099566,57991,62480,6.4864,297.98,62.584,0.12832,5,0,22,0,0.010903,0.20472,0,0,0.04725,0,0,0,1,0,0,1
30,100,8,0,5.964,18.099,0.24321,0,0.6,0,1.4483,14.33,0.00099517,57989,62483,6.4722,297.96,56.932,0.13108,5,0,22,0,0.019017,0.20457,0,0,0.048267,0,0,0,1,0,0,1
30,100,8,0,17.59,10.327,0.024321,0,0.6,0,1.4739,14.299,0.00099464,57990,62489,6.4713,297.95,54.958,0.13396,5,0,22,0,0.028336,0.20439,0,0,0.04933,0,0,0,1,0,0,1
30,100,8,0,29.528,6.4362,0.0024321,0,0.6,0,1.497,14.269,0.00099407,57993,62496,6.4826,297.95,55.392,0.13697,5,0,22,0,0.037573,0.20421,0,0,0.050441,0,0,0,1,0,0,1
30,100,8,0,36.986,5.2768,0.00024321,0,0.6,0,1.518,14.236,0.00099347,57998,62506,6.5002,297.96,57.179,0.1401,5,0,22,0,0.047876,0.20401,0,0,0.051596,0,0,0,1,0,0,1
30,100,8,0,37.4,5.8618,0.0001,0,0.6,0,1.5371,14.204,0.00099288,58003,62515,6.516,297.97,59.492,0.14335,5,0,22,0,0.0581,0.20381,0,0,0.052794,0,0,0,1,0,0,1
30,100,8,0,31.521,7.3384,0.0001,0,0.6,0,1.554,14.166,0.00099231,58006,62523,6.526,297.98,62.076,0.14672,5,0,22,0,0.069667,0.20359,0,0,0.054039,0,0,0,1,0,0,1
30,100,15,0,21.651,9.4753,0.0001,0,0.6,0,1.5834,14.141,0.00099175,58009,62531,6.5246,297.99,64.558,0.15022,5,0,22,0,0.076176,0.20346,0,0,0.055331,0,0,0,1,0,0,1
30,100,15,0,12.383,11.835,0.0001,0,0.6,0,1.6096,14.095,0.00099121,58011,62537,6.5117,298,67.117,0.15387,5,0,22,0,0.088649,0.20322,0,0,0.056675,0,0,0,1,0,0,1
30,100,15,0,8.2803,14.646,0.0001,0,0.6,0,1.6335,14.05,0.0009907,58011,62542,6.4933,298.01,69.531,0.15766,5,0,22,0,0.10318,0.20294,0,0,0.058074,0,0,0,1,0,0,1
30,100,15,0,11.485,17.628,0.0001,0,0.6,0,1.6544,14.017,0.00099017,58012,62548,6.479,298.01,71.586,0.16158,5,0,22,0,0.1131,0.20275,0,0,0.059524,0,0,0,1,0,0,1
30,100,15,0,20.395,20.488,0.0001,0,0.6,0,1.6725,13.981,0.0009896,58015,62556,6.4749,298.02,73.22,0.16565,5,0,22,0,0.12235,0.20257,0,0,0.061026,0,0,0,1,0,0,1
30,100,15,0,30.912,23.103,0.0001,0,0.6,0,1.7156,13.916,0.00098901,58020,62567,6.4817,298.03,74.331,0.16986,5,0,30,0,0.1379,0.20227,0,0,0.06258,0,0,0,1,0,0,1
30,100,15,0,38.718,25.282,0.0001,0,0.6,0,1.7567,13.876,0.00098838,58026,62580,6.4971,298.03,74.747,0.17421,5,0,30,0,0.15062,0.20202,0,0,0.064185,0,0,0,1,0,0,1
30,100,15,0,40.359,26.734,0.0001,0,0.6,0,1.7954,13.828,0.00098776,58033,62594,6.513,298.03,75.491,0.17869,5,0,30,0,0.16466,0.20175,0,0,0.065842,0,0,0,1,0,0,1
30,100,15,0,35.659,28.689,0.0001,0,0.6,0,1.8314,13.783,0.00098715,58039,62606,6.5235,298.03,76.631,0.18334,5,0,30,0,0.1765,0.20151,0,0,0.067557,0,0,0,1,0,0,1
30,100,15,0,26.777,31.25,0.0001,0,0.6,0,1.8645,13.732,0.00098657,58043,62616,6.5239,298.04,77.276,0.18813,5,0,30,0,0.19167,0.20122,0,0,0.069326,0,0,0,1,0,0,1
30,100,15,0,17.779,33.321,0.0001,0,0.6,0,1.8936,13.657,0.00098604,58044,62624,6.5113,298.04,78.225,0.1931,0,0,30,0,0.21402,0.20079,0,0,0.071161,0,0,0,1,0,0,1
30,100,15,0,13.839,35.887,0.0001,0,0.6,0,1.9191,13.588,0.00098552,58045,62631,6.494,298.04,78.411,0.19826,0,0,30,0,0.23594,0.20037,0,0,0.07307,0,0,0,1,0,0,1
30,100,15,0,16.781,37.594,0.0001,0,0.6,0,1.9405,13.522,0.00098499,58046,62639,6.481,298.04,78.524,0.20363,0,0,30,0,0.25647,0.19997,0,0,0.075055,0,0,0,1,0,0,1
30,100,15,0,24.873,39.254,0.0001,0,0.6,0,1.9575,13.46,0.00098443,58048,62648,6.4777,298.05,79.717,0.2092,0,0,30,0,0.27542,0.1996,0,0,0.077114,0,0,0,1,0,0,1
30,100,15,0,34.294,42.327,0.0001,0,0.6,0,1.971,13.389,0.00098384,58053,62659,6.4839,298.05,80.847,0.21496,0,0,30,0,0.29835,0.19916,0,0,0.079242,0,0,0,1,0,0,1
30,100,15,0,41.222,45.454,0.0001,0,0.6,0,1.9803,13.318,0.00098323,58059,62671,6.4979,298.05,81.523,0.22091,0,0,30,0,0.32088,0.19872,0,0,0.08144,0,0,0,1,0,0,1
30,100,15,0,42.549,48.156,0.0001,0,0.6,0,1.9855,13.25,0.00098262,58065,62684,6.5111,298.05,81.954,0.22705,0,0,30,0,0.34102,0.19833,0,0,0.083712,0,0,0,1,0,0,1
30,100,15,0,38.619,50.649,0.0001,0,0.6,0,1.9871,13.181,0.00098202,58070,62696,6.5187,298.05,82.229,0.23339,0,0,30,0,0.36114,0.19793,0,0,0.086057,0,0,0,1,0,0,1
30,100,15,0,31.695,53.009,0.0001,0,0.6,0,1.984,13.097,0.00098144,58074,62706,6.5163,298.06,83.745,0.23994,0,0,30,0,0.38566,0.19746,0,0,0.088478,0,0,0,1,0,0,1
30,100,15,0,25.73,57.011,0.0001,0,0.6,0,1.9758,13.006,0.00098089,58077,62716,6.5057,298.07,85.873,0.24672,0,0,30,0,0.41233,0.19694,0,0,0.090986,0,0,0,1,0,0,1
30,100,15,0,23.978,61.981,0.0001,0,0.6,0,1.9625,12.931,0.00098034,58080,62725,6.4926,298.08,88.461,0.25375,0,0,30,0,0.43154,0.19656,0,0,0.093589,0,0,0,1,0,0,1
30,100,15,0,27.449,67.827,0.0001,0,0.6,0,1.9424,12.82,0.00097977,58083,62734,6.4832,298.09,90.448,0.26109,0,0,30,0,0.46054,0.19599,0,0,0.096305,0,0,0,1,0,0,1
30,100,15,0,34.681,73.246,0.0001,0,0.6,0,1.9163,12.719,0.00097918,58088,62745,6.4817,298.09,91.155,0.26874,0,0,30,0,0.4904,0.19541,0,0,0.099136,0,0,0,1,0,0,1
30,100,15,0,42.483,77.309,0.0001,0,0.6,0,1.8849,12.624,0.00097857,58094,62758,6.4873,298.09,91.137,0.27668,0,0,30,0,0.51739,0.19488,0,0,0.10208,0,0,0,1,0,0,1
30,100,15,0,48.079,80.573,0.0001,0,0.6,0,1.8475,12.53,0.00097794,58101,62772,6.4972,298.09,90.997,0.2849,0,0,30,0,0.54366,0.19436,0,0,0.10512,0,0,0,1,0,0,1
42,100,15,0,49.691,83.696,0.0001,0,0.6,0,1.8046,12.709,0.0009773,58109,62786,6.5071,298.09,92.426,0.22799,0,0,30,0,0.50454,0.19796,0,0,0.11768,0,0,0,1,0,0,1
42,100,15,0,47.367,88.826,0.0001,0,0.6,0,1.7564,12.607,0.00097667,58116,62799,6.5127,298.09,92.677,0.22726,0,0,30,0,0.49254,0.19812,0,0,0.11731,0,0,0,1,0,0,1
42,100,15,0,42.839,92.595,0.0001,0,0.6,0,1.7019,12.487,0.00097606,58122,62812,6.5109,298.09,92.442,0.233,0,0,30,0,0.52794,0.19763,0,0,0.12028,0,0,0,1,0,0,1
42,100,15,0,39.04,95.805,0.0001,0,0.6,0,1.6406,12.388,0.00097546,58128,62824,6.5042,298.09,92,0.23966,0,0,30,0,0.55543,0.19725,0,0,0.12372,0,0,0,1,0,0,1
42,100,15,0,37.89,98.729,0.0001,0,0.6,0,1.5717,12.275,0.00097487,58133,62836,6.4972,298.08,90.026,0.24665,0,0,30,0,0.58661,0.19681,0,0,0.12734,0,0,0,1,0,0,1
42,100,15,0,39.532,99.623,0.0001,0,0.6,0,1.4946,12.16,0.00097427,58138,62848,6.4908,298.08,90.196,0.25392,0,0,30,0,0.61583,0.1964,0,0,0.13111,0,0,0,1,0,0,1
42,100,15,0,43.73,103.05,0.0001,0,0.6,0,1.4104,12.054,0.00097365,58145,62861,6.4877,298.08,88.999,0.26145,0,0,30,0,0.64519,0.19599,0,0,0.13501,0,0,0,1,0,0,1
42,100,15,0,49.15,104.67,0.0001,0,0.6,0,1.3178,11.913,0.00097302,58152,62875,6.4889,298.09,90.732,0.26925,0,0,30,0,0.69101,0.19535,0,0,0.13905,0,0,0,1,0,0,1
42,100,15,0,54.084,109.94,0.0001,0,0.6,0,1.2174,11.797,0.00097237,58161,62890,6.494,298.09,90.679,0.27731,0,0,30,0,0.72448,0.19488,0,0,0.14324,0,0,0,1,0,0,1
42,100,15,0,56.992,113.07,0.0001,0,0.6,0,1.1088,11.668,0.00097171,58170,62906,6.4986,298.09,90.658,0.28565,0,0,30,0,0.76234,0.19434,0,0,0.14756,0,0,0,1,0,0,1
42,100,15,0,58.059,116.29,0.0001,0,0.6,0,0.9919,11.543,0.00097105,58179,62921,6.5045,298.09,90.883,0.29426,0,0,30,0,0.79651,0.19386,0,0,0.15202,0,0,0,1,0,0,1
42,100,15,0,56.761,119.81,0.0001,0,0.6,0,0.86729,11.415,0.0009704,58188,62937,6.5068,298.09,91.997,0.30314,0,0,30,0,0.82995,0.19339,0,0,0.15663,0,0,0,1,0,0,1
42,100,15,0,54.566,124.51,0.0001,0,0.6,0,0.73461,11.265,0.00096975,58197,62952,6.5046,298.1,94.444,0.31232,0,0,30,0,0.87322,0.19278,0,0,0.16139,0,0,0,1,0,0,1
42,100,15,0,53.274,131.05,0.0001,0,0.6,0,0.59453,11.131,0.00096911,58205,62967,6.5025,298.11,95.768,0.32177,0,0,30,0,0.91327,0.19221,0,0,0.16629,0,0,0,1,0,0,1
42,100,15,0,52.777,136.45,0.0001,0,0.6,0,0.44612,10.981,0.00096847,58214,62982,6.4989,298.11,98.293,0.33152,0,0,30,0,0.95744,0.19159,0,0,0.17136,0,0,0,1,0,0,1
42,100,15,0,53.741,143.61,0.0001,0,0.6,0,0.29113,10.856,0.00096782,58222,62997,6.4977,298.12,99.686,0.34156,0,0,30,0,0.99615,0.19104,0,0,0.17656,0,0,0,1,0,0,1
42,100,15,0,55.156,149.63,0.0001,0,0.6,0,0.13653,10.824,0.00096717,58231,63012,6.4978,298.1,95.579,0.3518,0,0,30,0,1.0098,0.19083,0,0,0.18188,0,0,0,1,0,0,1
42,100,15,0,56.557,148.81,0.0001,0,0.6,0,0.021218,11.557,0.00096652,58240,63027,6.5067,298.06,83.516,0.36176,0,0,30,0,0.91532,0.19211,0,0,0.18706,0,0,0,1,0,0,1
42,100,15,0,54.351,137.36,0.0001,0,0.6,0,0.0094469,12.391,0.0009659,58248,63042,6.5385,297.92,46.617,0.36924,0,0,30,0,0.56896,0.19681,0,0,0.19095,0,0,0,1,0,0,1
42,100,15,0,39.403,41.208,182.85,0,0.6,0,0.009332,12.368,0.00096535,58254,63055,6.5604,298.6,229.53,0.37515,0,1469.2,30,1903.3,0.49455,0.1978,0.00096782,3.28,0.19402,0,11.03,0,1,0,0,1
42,100,30,0.51866,19.702,274.17,18.285,0,0.6,0,0.015249,11.816,0.00096477,58258,63067,6.5443,298.25,134.05,0.38149,0,0,30,0,0.62149,0.19607,0,0,0.19731,0,0,0,1,0,0,1
42,100,30,0,2.6158,169.12,1.8285,0,0.6,0,0.014906,11.775,0.00096424,58259,63076,6.497,298.08,88.679,0.38848,0,0,30,0,0.65521,0.1956,0,0,0.20094,0,0,0,1,0,0,1
42,100,30,0,4.4267,122.84,0.18285,0,0.7,0,0.01446,12.583,0.00096372,58261,63085,6.4581,298,68.635,0.39557,0,0,30,0,0.67073,0.19538,0,0,0.20463,0,0,0,1,0,0,1
42,100,30,0,21.666,101.34,0.018285,0,0.7,0,0.014243,12.547,0.00096313,58266,63098,6.4501,297.98,61.87,0.40268,0,0,30,0,0.67478,0.19531,0,0,0.20833,0,0,0,1,0,0,1
42,100,30,0,42.053,93.386,0.0018285,0,0.7,0,0.014207,12.503,0.00096248,58275,63115,6.4688,297.97,59.948,0.4098,0,0,30,0,0.68989,0.19509,0,0,0.21203,0,0,0,1,0,0,1
42,100,30,0,54.962,90.333,0.00018285,0,0.7,0,0.013942,12.484,0.00096179,58287,63134,6.4968,297.97,58.541,0.41692,0,0,30,0,0.69536,0.195,0,0,0.21573,0,0,0,1,0,0,1
42,100,30,0,56.732,87.538,0.0001,0,0.7,0,0.013691,12.476,0.0009611,58299,63154,6.5233,297.96,57.073,0.42401,0,0,30,0,0.68892,0.19507,0,0,0.21943,0,0,0,1,0,0,1
42,100,30,0,47.95,84.454,0.0001,0,0.7,0,0.013549,12.432,0.00096043,58309,63172,6.5417,297.97,58.612,0.4311,0,0,30,0,0.6965,0.19496,0,0,0.22311,0,0,0,1,0,0,1
42,100,30,0,31.799,85.024,0.0001,0,0.7,0,0.013241,12.4,0.00095983,58316,63187,6.5431,297.97,58.451,0.43819,0,0,30,0,0.70029,0.19489,0,0,0.2268,0,0,0,1,0,0,1
42,100,30,0,15.146,83.545,0.0001,0,0.7,0,0.012541,12.364,0.00095927,58320,63199,6.5179,297.98,61.091,0.44526,0,0,30,0,0.70926,0.19476,0,0,0.23049,0,0,0,1,0,0,1
42,100,30,0,8.6055,85.679,0.0001,0,0.7,0,0.012192,12.346,0.00095874,58322,63209,6.4835,297.97,60.148,0.45231,0,0,30,0,0.70411,0.19481,0,0,0.23416,0,0,0,1,0,0,1
42,100,30,0,15.749,83.513,0.0001,0,0.7,0,0.011932,12.321,0.00095818,58326,63221,6.4643,297.97,59.901,0.45934,0,0,30,0,0.70917,0.19473,0,0,0.23781,0,0,0,1,0,0,1
42,100,30,0,30.5,82.206,0.0001,0,0.7,0,0.011681,12.292,0.00095757,58333,63235,6.4671,297.97,58.184,0.46635,0,0,30,0,0.71434,0.19464,0,0,0.24147,0,0,0,1,0,0,1
42,100,30,0,44.104,78.963,0.0001,0,0.7,0,0.011333,12.29,0.00095692,58343,63253,6.4852,297.97,58.093,0.47335,0,0,30,0,0.71127,0.19467,0,0,0.24511,0,0,0,1,0,0,1
42,100,30,0,50.505,77.605,0.0001,0,0.7,0,0.01125,12.268,0.00095625,58353,63271,6.5069,297.96,56.901,0.48031,0,0,30,0,0.71083,0.19467,0,0,0.24874,0,0,0,1,0,0,1
42,100,30,0,48.267,74.778,0.0001,0,0.7,0,0.010914,12.271,0.00095559,58364,63289,6.5255,297.96,57.615,0.48724,0,0,30,0,0.7041,0.19474,0,0,0.25235,0,0,0,1,0,0,1
42,100,30,0,38.588,74.257,0.0001,0,0.7,0,0.010714,12.228,0.00095496,58372,63306,6.5318,297.97,59.547,0.49412,0,0,30,0,0.71444,0.19459,0,0,0.25594,0,0,0,1,0,0,1
42,100,30,0,26.407,75.341,0.0001,0,0.7,0,0.010577,12.189,0.00095437,58378,63319,6.522,297.98,61.859,0.501,0,0,30,0,0.72084,0.19449,0,0,0.25952,0,0,0,1,0,0,1
42,100,30,0,18.169,77.145,0.0001,0,0.7,0,0.010417,12.142,0.00095381,58383,63331,6.5031,297.98,61.705,0.50788,0,0,30,0,0.73069,0.19434,0,0,0.26311,0,0,0,1,0,0,1
42,100,30,0,17.487,76.106,0.0001,0,0.7,0,0.010031,12.12,0.00095326,58387,63343,6.4853,297.99,63.591,0.51476,0,0,30,0,0.73605,0.19426,0,0,0.2667,0,0,0,1,0,0,1
42,100,75,0,23.895,77.723,0.0001,0,0.7,0,0.038228,10.528,0.00095253,58401,63370,6.4571,298.1,95.335,0.52335,0,0,35,0,1.0791,0.18955,0,0,0.27118,0,0,0,1,0,0,1
42,100,75,0,41.619,117.73,0.0001,0,0.7,0,0.038444,10.377,0.00095173,58419,63400,6.4486,298.16,109.58,0.53383,0,0,35,0,1.2079,0.18776,0,0,0.27665,0,0,0,1,0,0,1
42,100,75,0,62.644,138.94,0.0001,0,0.7,0,0.035462,10.323,0.00095087,58441,63435,6.4557,298.17,113.23,0.54474,0,0,35,0,1.2355,0.18735,0,0,0.28234,0,0,0,1,0,0,1
42,100,75,0,80.841,149.06,0.0001,0,0.7,0,0.032388,10.292,0.00094995,58467,63473,6.4671,298.16,110.04,0.55573,0,0,35,0,1.2427,0.18723,0,0,0.28809,0,0,0,1,0,0,1
42,100,75,0,94.493,151.25,0.0001,0,0.7,0,0.030114,10.275,0.00094899,58496,63513,6.4788,298.14,105.63,0.56672,0,0,35,0,1.2417,0.18723,0,0,0.29382,0,0,0,1,0,0,1
42,100,75,0,103.48,151.62,0.0001,0,0.7,0,0.027804,10.226,0.000948,58526,63556,6.49,298.13,103.83,0.57771,0,0,35,0,1.2508,0.18708,0,0,0.29957,0,0,0,1,0,0,1
42,100,75,0,108.01,154.75,0.0001,0,0.7,0,0.026248,10.183,0.000947,58557,63599,6.5001,298.12,98.599,0.58871,0,0,35,0,1.2561,0.18699,0,0,0.30531,0,0,0,1,0,0,1
42,100,75,0,108.51,153.19,0.0001,0,0.7,0,0.024812,10.14,0.000946,58589,63642,6.509,298.1,93.581,0.59971,0,0,35,0,1.2613,0.18689,0,0,0.31106,0,0,0,1,0,0,1
42,100,75,0,105.45,151.28,0.0001,0,0.7,0,0.02434,10.058,0.00094502,58619,63685,6.516,298.09,91.791,0.61076,0,0,35,0,1.2719,0.18673,0,0,0.31684,0,0,0,1,0,0,1
42,100,75,0,99.564,152.78,0.0001,0,0.7,0,0.022727,10.009,0.00094405,58649,63727,6.5218,298.07,86.915,0.62186,0,0,35,0,1.2839,0.18654,0,0,0.32264,0,0,0,1,0,0,1
42,100,75,0,91.384,150.01,0.0001,0,0.7,0,0.021097,9.9834,0.00094312,58677,63767,6.5266,298.05,81.523,0.63294,0,0,35,0,1.2864,0.18648,0,0,0.32844,0,0,0,1,0,0,1
42,100,75,0,81.25,146,0.0001,0,0.7,0,0.02051,9.9114,0.00094221,58703,63805,6.5294,298.04,78.074,0.64401,0,0,35,0,1.2939,0.18636,0,0,0.33423,0,0,0,1,0,0,1
42,100,75,0,70.018,143.74,0.0001,0,0.7,0,0.019905,9.8176,0.00094135,58726,63840,6.529,298.03,76.396,0.65514,0,0,35,0,1.3128,0.18608,0,0,0.34006,0,0,0,1,0,0,1
42,100,75,0,58.956,143.19,0.0001,0,0.7,0,0.019116,9.7147,0.00094052,58748,63874,6.5254,298.04,77.047,0.66637,0,0,35,0,1.3366,0.18573,0,0,0.34594,0,0,0,1,0,0,1
42,100,75,0,49.316,145.33,0.0001,0,0.7,0,0.018497,9.6468,0.00093972,58767,63906,6.517,298.05,81.792,0.67765,0,0,35,0,1.3516,0.1855,0,0,0.35185,0,0,0,1,0,0,1
42,100,75,0,43.065,152.68,0.0001,0,0.7,0,0.018043,9.5665,0.00093894,58785,63936,6.5045,298.06,83.054,0.68897,0,0,35,0,1.3648,0.18529,0,0,0.35778,0,0,0,1,0,0,1
42,100,75,0,41.791,156.16,0.0001,0,0.7,0,0.017525,9.4942,0.00093817,58803,63966,6.4929,298.04,78.494,0.70036,0,0,35,0,1.3765,0.18511,0,0,0.36375,0,0,0,1,0,0,1
42,100,75,0,45.147,152.52,0.0001,0,0.7,0,0.01654,9.4965,0.00093739,58822,63997,6.4865,298.02,72.433,0.71174,0,0,35,0,1.3709,0.18517,0,0,0.36971,0,0,0,1,0,0,1
