X0,X1,X2,X3,X4,X5,X6,Y

223.87,60453,65539,0.72,0.83,0.2,0.5,0.02
67.16,60498,65592,0.73,0.72,0.2,0.51,0.03
445.62,60540,65641,0.73,0.73,0.2,0.51,0.05
281.61,60561,65671,0.73,0.77,0.2,0.51,0.07
182.83,60572,65690,0.74,0.8,0.2,0.52,0.08
54.85,60578,65703,0.74,0.81,0.2,0.52,0.1
264.23,60581,65715,0.75,0.81,0.2,0.52,0.12
201.07,60582,65723,0.75,0.82,0.2,0.52,0.14
154.07,60583,65732,0.75,0.8,0.2,0.53,0.16
123.79,60588,65746,0.76,0.8,0.2,0.53,0.18
37.14,60599,65764,0.76,0.79,0.2,0.53,0.2
204.9,60613,65786,0.77,0.79,0.2,0.54,0.22
172.27,60628,65809,0.77,0.79,0.2,0.54,0.24
145.54,60641,65831,0.78,0.8,0.2,0.54,0.26
126.05,60652,65850,0.78,0.79,0.2,0.54,0.29
112.77,60658,65863,0.78,0.78,0.2,0.55,0.31
104.1,60661,65874,0.79,0.79,0.2,0.55,0.33
100.85,60663,65884,0.79,0.8,0.2,0.55,0.35
99.48,60668,65897,0.8,0.78,0.2,0.56,0.37
98.03,60677,65914,0.8,0.78,0.2,0.56,0.4
96.44,60690,65935,0.8,0.82,0.2,0.56,0.42
100.13,60704,65958,0.81,0.84,0.19,0.56,0.43
104.41,60717,65980,0.81,0.84,0.19,0.57,0.45
109.25,60729,66000,0.82,0.84,0.19,0.57,0.47
111.5,60738,66017,0.82,0.85,0.19,0.57,0.49
112.34,60744,66032,0.83,0.85,0.19,0.58,0.5
111.49,60749,66046,0.83,0.87,0.19,0.58,0.52
112,60756,66060,0.84,0.87,0.19,0.58,0.55
109.03,60764,66078,0.84,0.88,0.19,0.59,0.57
110.63,60776,66098,0.85,0.88,0.19,0.59,0.59
110.67,60789,66119,0.85,0.89,0.19,0.59,0.61
114.14,60801,66140,0.85,0.89,0.19,0.6,0.64
116.71,60813,66159,0.86,0.9,0.19,0.6,0.66
116.35,60822,66177,0.86,0.91,0.19,0.6,0.68
114.45,60829,66192,0.87,0.93,0.19,0.61,0.7
117.47,60835,66207,0.87,0.93,0.19,0.61,0.73
119.27,60843,66223,0.88,0.94,0.19,0.61,0.75
121.04,60852,66241,0.88,0.95,0.19,0.61,0.77
119.49,60863,66260,0.88,0.94,0.19,0.62,0.8
118.39,60874,66280,0.89,0.94,0.19,0.62,0.82
117.01,60886,66301,0.89,1,0.19,0.62,0.84
123.59,60897,66321,0.9,1.02,0.19,0.63,0.86
130.62,60907,66340,0.9,1.03,0.19,0.63,0.88
136.57,60917,66358,0.91,1.03,0.19,0.63,0.9
143.28,60926,66376,0.91,1.02,0.19,0.64,0.93
144.35,60937,66396,0.92,1.02,0.19,0.64,0.95
144.54,60949,66416,0.92,1.02,0.19,0.64,0.97
142.69,60961,66438,0.93,1.01,0.19,0.65,1
142.11,60974,66459,0.93,1,0.19,0.65,1.02
138.7,60987,66480,0.94,0.99,0.19,0.65,1.05
137.84,60998,66501,0.94,1,0.19,0.66,1.08
138.53,61009,66520,0.94,1,0.19,0.66,1.1
141.95,61018,66538,0.95,1,0.19,0.66,1.13
146.11,61028,66557,0.95,1.01,0.19,0.67,1.16
148.4,61038,66575,0.96,0.99,0.19,0.67,1.18
147.13,61049,66595,0.96,0.97,0.19,0.67,1.21
151.12,61061,66616,0.97,0.97,0.19,0.67,1.24
149.87,61073,66637,0.97,0.98,0.19,0.68,1.27
151.45,61085,66657,0.97,0.98,0.19,0.68,1.3
147.14,61096,66677,0.98,0.98,0.19,0.68,1.33
143.75,61107,66697,0.98,1.02,0.19,0.69,1.36
142.5,61118,66716,0.99,1.01,0.19,0.69,1.39
146.31,61129,66736,0.99,1.02,0.19,0.69,1.42
152.1,61140,66756,1,1.02,0.19,0.7,1.45
154.87,61151,66776,1,1.01,0.19,0.7,1.48
153.11,61164,66797,1.01,1.01,0.19,0.7,1.51
153.35,61176,66819,1.01,1.01,0.19,0.71,1.54
154.03,61188,66840,1.01,1.01,0.19,0.71,1.57
152.07,61200,66860,1.02,1.02,0.19,0.71,1.6
148.62,61211,66880,1.02,1.02,0.19,0.71,1.64
144.25,61222,66900,1.03,1.02,0.19,0.72,1.67
145.34,61233,66920,1.03,1.02,0.19,0.72,1.7
148.31,61244,66940,1.04,1.01,0.19,0.72,1.74
148.41,61256,66961,1.04,1.01,0.19,0.73,1.77
148.37,61268,66982,1.04,1.03,0.19,0.73,1.8
150.95,61280,67002,1.05,1.02,0.19,0.73,1.84
149.83,61291,67023,1.05,1.01,0.19,0.74,1.87
149.15,61303,67043,1.06,1.02,0.19,0.74,1.91
151.14,61314,67063,1.06,1.01,0.19,0.74,1.94
150.74,61325,67083,1.06,1.01,0.19,0.74,1.98
147.66,61338,67105,0.99,1.01,0.19,0.75,2.01
143.17,61352,67129,0.99,1.01,0.19,0.75,2.04
141.08,61366,67152,0.99,1.01,0.19,0.76,2.08
138.4,61381,67175,0.99,1.01,0.19,0.76,2.11
132.65,61395,67199,1,1.02,0.19,0.76,2.15
128.58,61410,67223,1,1.04,0.19,0.76,2.18
38.57,61424,67246,1.01,1.05,0.19,0.77,2.22
227.5,61438,67269,1.01,1.05,0.19,0.77,2.25
211.89,61452,67292,1.01,1.05,0.19,0.77,2.29
189.05,61466,67315,1.02,1.06,0.19,0.78,2.32
172.05,61480,67338,1.02,1.04,0.19,0.78,2.36
164.95,61494,67362,1.03,1.02,0.19,0.78,2.4
159.06,61509,67385,1.03,1.02,0.19,0.79,2.43
158.35,61523,67409,1.03,1.01,0.19,0.79,2.47
158.12,61538,67433,1.04,1.01,0.19,0.79,2.51
151.62,61552,67456,1.04,1.01,0.19,0.79,2.55
143.7,61566,67479,1.04,1.02,0.19,0.8,2.58
142.3,61580,67501,1.05,1.02,0.19,0.8,2.62
140.53,61593,67524,1.05,1.01,0.19,0.8,2.66
137.62,61607,67547,1.06,1.02,0.19,0.81,2.7
134.81,61623,67573,1.06,1.05,0.19,0.81,2.73
140.58,61640,67599,1.06,1.04,0.19,0.81,2.77
148.37,61658,67625,1.07,1.04,0.19,0.81,2.81
155.61,61675,67652,1.07,1.05,0.19,0.82,2.84
