X1,X2,X3,X4,X5,Y1

0.653,0.77,0.476,0.0662,0.0294,0.166
0.655,0.76,0.479,0.0337,0.0316,0.168
0.656,0.771,0.48,0.0764,0.0291,0.171
0.659,0.768,0.474,0.0728,0.0305,0.173
0.665,0.772,0.469,0.0379,0.0283,0.176
0.659,0.769,0.468,0.21,0.177,0.179
0.651,0.753,0.465,0.403,0.386,0.181
0.65,0.754,0.468,0.397,0.445,0.184
0.645,0.765,0.468,0.378,0.475,0.187
0.641,0.771,0.465,0.408,0.49,0.189
0.644,0.776,0.449,0.429,0.497,0.203
0.647,0.784,0.431,0.409,0.496,0.229
0.653,0.783,0.428,0.398,0.498,0.256
0.664,0.766,0.428,0.4,0.506,0.264
0.673,0.752,0.425,0.417,0.509,0.246
0.677,0.763,0.419,0.409,0.507,0.228
0.674,0.764,0.418,0.391,0.509,0.21
0.669,0.763,0.43,0.394,0.509,0.171
0.666,0.768,0.441,0.43,0.507,0.14
0.665,0.772,0.443,0.437,0.507,0.155
0.664,0.774,0.443,0.393,0.505,0.169
0.666,0.772,0.439,0.377,0.505,0.183
0.667,0.778,0.431,0.416,0.505,0.191
0.662,0.759,0.424,0.436,0.512,0.19
0.659,0.752,0.432,0.436,0.515,0.19
0.66,0.751,0.433,0.451,0.515,0.19
0.663,0.757,0.427,0.39,0.515,0.189
0.668,0.767,0.418,0.384,0.513,0.189
0.671,0.77,0.412,0.402,0.51,0.189
0.67,0.782,0.415,0.376,0.505,0.188
0.671,0.767,0.417,0.375,0.507,0.188
0.672,0.764,0.417,0.371,0.507,0.188
0.67,0.783,0.412,0.376,0.504,0.187
0.667,0.784,0.401,0.397,0.505,0.187
0.666,0.782,0.396,0.383,0.507,0.187
0.667,0.787,0.395,0.424,0.504,0.186
0.664,0.769,0.398,0.437,0.508,0.186
0.662,0.769,0.401,0.423,0.509,0.186
0.66,0.783,0.39,0.433,0.507,0.185
0.662,0.778,0.384,0.409,0.511,0.185
0.667,0.77,0.39,0.399,0.511,0.185
0.672,0.755,0.387,0.395,0.517,0.184
0.678,0.768,0.38,0.425,0.516,0.184
0.678,0.782,0.383,0.441,0.509,0.184
0.674,0.769,0.38,0.428,0.513,0.183
0.664,0.756,0.385,0.405,0.519,0.183
0.652,0.758,0.394,0.367,0.519,0.162
0.646,0.751,0.397,0.435,0.526,0.137
0.641,0.756,0.401,0.455,0.52,0.14
