Extruder 1 current,Extruder speed,Extruder 1 head pressure,Extruder 1 head temperature,Calender 1 current,Calender 1 speed,Calender 1 film temperature,Calender 1 drive side roller distance,Calender 1 operation side roller distance,"Calender 1 drive side
Upper chamber pressure","Calvestor 1 drive side
Lower chamber pressure ","Calender 1 operating side
Upper chamber pressure ","Calves 1 operating side
Lower chamber pressure",calender width,Thickness measurement drive side,thickness measurement operation side
368.46,3.5,2.97,82,54.87,3,80.21,1.23,1.22,50.06,39.25,34.9,48.1,748.6,3.54,1.41
369.99,3.51,2.97,82,54.62,3,80.25,1.23,1.22,48.3,37.35,33.04,46.11,747.5,1.37,1.41
372.8,3.5,2.97,82.01,54.54,3,80.28,1.23,1.22,48.81,38.32,34.11,47.16,748.5,1.37,1.41
372.44,3.52,2.97,82.01,54.54,3,80.28,1.23,1.22,48.81,38.32,34.11,47.16,748.5,1.37,1.41
372.69,3.51,2.98,82.02,54.47,3,80.23,1.23,1.22,49.2,38.74,34.33,47.42,745.3,1.36,1.41
372.69,3.51,2.98,82.02,54.47,3,80.23,1.23,1.22,49.2,38.74,34.33,47.42,745.3,1.36,1.41
372.84,3.51,2.98,82.01,54.53,3,80.16,1.23,1.22,45.91,34.59,30.2,43.35,744.3,1.36,1.4
373.31,3.5,2.98,82.02,54.59,2.99,80.16,1.23,1.22,49.31,38.94,34.63,47.85,743.8,1.38,1.4
373.31,3.5,2.98,82.02,54.62,3,80.17,1.23,1.22,50.47,40.05,35.55,48.71,742.5,1.38,1.4
370.9,3.52,2.98,82.02,54.57,3,80.24,1.23,1.22,49.84,39.34,34.84,47.91,741.9,1.37,1.4
369.33,3.5,2.98,82.03,54.56,3,80.25,1.23,1.22,49.84,39.28,34.56,47.97,742.2,1.34,1.4
369.33,3.5,2.98,82.03,54.6,3,80.21,1.23,1.22,47.93,37.13,32.88,45.87,741.5,1.29,1.39
370.36,3.51,2.98,82.03,54.68,3,80.23,1.23,1.22,46.43,35.73,31.32,44.4,740.6,1.23,1.39
371.3,3.51,2.97,82.03,54.75,3,80.26,1.23,1.22,49.68,39.73,34.72,48.1,740.3,1.23,1.38
374.77,3.5,2.97,82.04,54.84,3,80.32,1.23,1.22,46.73,36.26,31.6,44.66,739.3,1.23,1.37
375.43,3.5,2.97,82.05,54.93,2.99,80.36,1.23,1.22,48.7,38.61,34.29,47.64,739.9,1.22,1.37
375.43,3.5,2.97,82.05,54.93,2.99,80.36,1.23,1.22,48.7,38.61,34.29,47.64,739.9,1.22,1.37
377.51,3.51,2.97,82.05,55.07,2.99,80.38,1.23,1.22,48.23,37.95,33.62,46.65,740.6,1.2,1.36
374.55,3.52,2.97,82.05,55.02,3,80.36,1.23,1.22,47.33,36.32,32.01,44.99,739.3,1.19,1.36
374.55,3.52,2.97,82.05,55.02,3,80.36,1.23,1.22,47.33,36.32,32.01,44.99,739.3,1.19,1.36
372.62,3.52,2.97,82.05,55.04,3,80.42,1.23,1.22,49.28,38.32,33.67,46.85,739.6,1.19,1.36
372.47,3.51,2.98,82.05,55.09,3,80.41,1.23,1.22,50.84,40.12,36.05,49.26,739.1,1.19,1.36
369.7,3.52,2.98,82.06,55.3,3,80.29,1.23,1.22,50.01,39.35,35.33,48.54,738.7,1.28,1.36
369.7,3.52,2.98,82.06,55.3,3,80.29,1.23,1.22,50.01,39.35,35.33,48.54,738.7,1.28,1.36
367.33,3.52,2.98,82.05,55.3,3,80.31,1.23,1.22,49.66,38.87,34.04,47.45,738.3,1.28,1.36
365.9,3.52,2.98,82.07,55.28,3,80.35,1.23,1.22,46.18,35.17,30.59,43.8,739.3,1.28,1.36
362.87,3.53,2.98,82.07,55.46,2.99,80.41,1.23,1.22,45.98,35,30.38,43.86,739.1,1.28,1.36
363.06,3.51,2.98,82.07,55.53,3,80.42,1.23,1.22,48.92,37.83,33.37,47.1,738.5,1.28,1.36
363.06,3.51,2.98,82.07,55.53,3,80.42,1.23,1.22,48.92,37.83,33.37,47.1,738.5,1.28,1.36
363.13,3.5,2.97,82.07,55.59,3,80.39,1.23,1.22,52.99,42.66,38.05,51.38,738.2,1.28,1.37
365.68,3.51,2.97,82.08,55.38,3,80.36,1.23,1.22,50.44,40.04,35.62,49.17,738.2,1.28,1.37
368.17,3.49,2.96,82.08,55.38,3,80.44,1.23,1.22,47.55,36.49,32.27,45.68,738.2,1.28,1.37
368.17,3.49,2.96,82.08,55.38,3,80.44,1.23,1.22,47.55,36.49,32.27,45.68,738.2,1.28,1.37
371.23,3.5,2.96,82.08,55.3,3,80.51,1.23,1.22,48.56,38.55,34.1,47.62,737.8,1.28,1.37
376.63,3.49,2.96,82.08,55.52,3,80.43,1.23,1.22,51.42,40.67,36.24,49.35,736.4,1.29,1.37
379.04,3.49,2.96,82.09,55.52,3,80.38,1.23,1.22,51.42,40.67,36.24,49.35,736.4,1.29,1.37
379.59,3.51,2.97,82.08,55.63,3,80.38,1.23,1.22,49.77,39.01,34.68,47.91,736.1,1.29,1.37
384.15,3.49,2.97,82.09,55.7,3,80.3,1.23,1.22,51.25,40.28,35.7,48.81,735.5,1.29,1.37
